Unique Well Identifier,Status,Surface Latitude,Surface Longitude
1AA/01-24-072-17W4/0,Closed,55.243202,-112.471657
102/01-25-002-09W4/0,Closed,49.147898,-111.079996
100/01-25-005-06W4/0,Closed,49.409796,-110.683311
100/01-25-005-22W4/0,Closed,49.409982,-112.835196
100/01-25-012-18W4/0,Closed,50.022288,-112.328172
100/01-25-018-24W4/0,Closed,50.546203,-113.170052
100/01-25-019-27W4/0,Closed,50.633594,-113.610423
102/01-25-026-12W4/0,Closed,51.242258,-111.545596
100/01-25-038-17W4/0,Closed,52.292383,-112.295012
103/08-25-038-17W4/0,Closed,52.292068,-112.295013
100/01-25-043-28W4/0,Closed,52.728196,-113.923715
100/01-25-045-20W4/0,Closed,52.903382,-112.765851
102/01-25-048-11W5/0,Closed,53.165593,-115.469564
102/01-25-064-14W4/3,Closed,54.562058,-111.972936
100/01-25-081-11W5/2,Closed,56.046299,-115.569155
100/01-26-002-09W4/0,Closed,49.148184,-111.101447
100/01-26-018-24W4/0,Active,50.546227,-113.193385
100/01-26-018-26W4/0,Active,50.545814,-113.461777
100/01-26-035-04W4/0,Closed,52.029812,-110.463096
100/01-26-035-10W4/0,Closed,52.028630,-111.317395
102/01-26-046-28W4/0,Closed,52.990274,-113.949754
100/01-26-066-24W4/0,Closed,54.736800,-113.514843
100/01-26-067-24W4/0,Active,54.823733,-113.545730
100/01-26-089-06W6/0,Closed,56.744132,-118.831350
100/01-26-114-06W6/2,Active,58.923210,-118.877385
100/01-27-005-05W4/0,Closed,49.409099,-110.590232
100/09-27-020-26W4/0,Closed,50.720865,-113.518029
100/01-27-028-05W5/0,Closed,51.418195,-114.616450
100/01-27-031-13W4/2,Closed,51.681006,-111.757913
100/01-27-031-18W4/0,Closed,51.681149,-112.467299
100/07-22-039-26W4/2,Closed,52.377464,-113.656034
1C0/01-27-040-12W4/0,Closed,52.466271,-111.638066
107/08-27-040-12W4/2,Closed,52.465866,-111.638377
105/08-27-040-12W4/0,Closed,52.465866,-111.638141
1B0/04-26-040-12W4/0,Closed,52.466271,-111.637954
102/04-26-040-12W4/0,Closed,52.465866,-111.638494
1B0/05-26-040-12W4/0,Closed,52.466271,-111.637843
1C0/05-26-040-12W4/0,Closed,52.466271,-111.637729
106/08-27-040-12W4/0,Closed,52.465866,-111.638259
100/01-27-042-17W4/0,Closed,52.641222,-112.359847
100/01-27-079-23W4/0,Closed,55.870200,-113.506927
100/01-28-005-05W4/0,Closed,49.409963,-110.612805
102/01-28-005-05W4/0,Closed,49.408029,-110.616406
102/08-28-005-05W4/0,Closed,49.408207,-110.616366
100/01-28-012-06W4/0,Closed,50.019121,-110.755539
100/14-28-020-27W4/0,Active,50.719223,-113.678236
100/01-28-039-26W4/0,Closed,52.377431,-113.678282
100/02-28-049-24W4/0,Closed,53.251874,-113.445073
100/01-28-050-16W4/0,Closed,53.338437,-112.273590
102/09-28-053-09W5/0,Closed,53.600281,-115.256781
100/01-28-065-25W4/0,Closed,54.646128,-113.715731
100/01-28-090-04W6/0,Closed,56.831366,-118.559487
100/01-28-092-03W6/0,Closed,57.005790,-118.408545
100/01-29-025-05W4/0,Active,51.156459,-110.659507
100/01-29-030-01W4/0,Closed,51.592176,-110.101852
102/01-29-034-09W4/0,Closed,51.940603,-111.238605
100/11-29-036-28W4/0,Closed,52.118005,-113.959813
100/16-29-036-28W4/0,Closed,52.118092,-113.959775
100/06-29-036-28W4/0,Closed,52.117918,-113.959849
100/01-29-039-26W4/0,Closed,52.377171,-113.702351
100/01-29-048-26W4/0,Closed,53.166347,-113.757472
100/01-29-049-05W4/0,Closed,53.251919,-110.692248
102/01-29-056-23W4/0,Closed,53.863524,-113.373389
100/01-29-064-14W4/2,Closed,54.560558,-112.077445
100/01-29-079-24W5/0,Closed,55.869403,-117.713719
100/01-29-120-19W5/0,Closed,59.448644,-117.222830
100/01-29-124-17W5/0,Closed,59.797405,-116.910755
102/01-29-124-17W5/0,Active,59.797398,-116.910194
100/01-30-003-05W4/0,Closed,49.235459,-110.660918
102/01-30-011-13W4/0,Closed,49.934783,-111.759598
100/01-30-015-26W4/3,Closed,50.284428,-113.557142
