,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
92,140,Un homme,De 65 à 74 ans,Non,Urdu,Oui,3,3,2,1,5,5,5,5,5,5,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
93,141,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,4,4,3,3,3,5,3,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
94,142,Un homme,De 55 à 64 ans,Non,Anglais,Non,3,3,2,2,5,5,5,5,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
95,143,Un homme,75 ans ou plus,Oui,Anglais,Non,2,1,3,1,5,5,5,5,2,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
96,144,Une femme,De 45 à 54 ans,Oui,Français,Non,4,3,4,3,2,1,1,1,5,4,4,2,Je préfère ne pas répondre,Je ne sais pas,Je préfère ne pas répondre,Je préfère ne pas répondre,Je ne sais pas,Je préfère ne pas répondre,Je préfère ne pas répondre,Non,Je préfère ne pas répondre
97,145,Une femme,De 35 à 44 ans,Oui,Anglais,Non,4,3,3,2,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
98,146,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
99,147,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,2,3,3,4,4,5,3,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non
100,149,Un homme,De 45 à 54 ans,Oui,Français,Non,5,4,5,4,3,2,3,2,2,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
101,150,Un homme,75 ans ou plus,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
102,151,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,3,5,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
103,152,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,4,4,3,4,3,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
104,153,Un homme,De 35 à 44 ans,Non,Arabe,Non,2,2,2,2,3,3,3,2,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
105,154,Une femme,De 65 à 74 ans,Oui,Anglais,Non,2,2,2,1,5,5,5,5,5,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
106,155,Un homme,De 65 à 74 ans,Oui,Anglais,Non,2,2,1,1,5,5,4,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
107,156,Une femme,De 45 à 54 ans,Oui,Anglais,Non,2,2,1,1,5,5,5,5,5,5,4,8,Non,Non,Non,Non,Non,Non,Non,Non,Oui
108,157,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,3,4,4,2,2,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
109,158,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,2,2,2,2,2,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
110,159,Un homme,De 55 à 64 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
111,160,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,5,4,2,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
112,161,Une femme,De 35 à 44 ans,Non,Mandarin,Oui,5,5,5,5,2,2,2,2,5,5,1,2,Non,Non,Non,Non,Non,Non,Non,Oui,Non
113,162,Un homme,De 45 à 54 ans,Oui,Anglais,Non,5,4,4,2,5,5,5,5,1,2,1,3,Non,Non,Non,Je ne sais pas,Non,Non,Oui,Je ne sais pas,Je ne sais pas
114,163,Un homme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,4,4,4,4,4,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
115,164,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
116,165,Un homme,De 25 à 34 ans,Oui,Français,Oui,4,4,4,4,2,1,2,2,2,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
117,166,Une femme,De 55 à 64 ans,Oui,Italien,Non,5,5,5,4,5,5,5,5,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
118,167,Une femme,De 18 à 24 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,4,2,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
119,168,Une femme,De 45 à 54 ans,Oui,Anglais,Non,5,4,5,3,5,5,5,5,5,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
120,169,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
121,170,Une femme,De 65 à 74 ans,Oui,Anglais,Oui,4,4,3,2,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
122,171,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,4,5,4,4,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
123,172,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,4,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
124,173,Une femme,De 25 à 34 ans,Oui,Français,Oui,4,4,4,4,4,3,3,3,4,5,4,3,Non,Non,Oui,Non,Non,Non,Non,Non,Non
125,174,Un homme,De 45 à 54 ans,Non,Perse,Non,4,3,4,3,4,4,5,5,5,2,3,2,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui
126,175,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,3,4,3,4,3,3,5,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
127,176,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,4,5,3,5,2,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
128,177,Une femme,De 65 à 74 ans,Oui,Anglais,Non,2,2,2,1,5,5,5,5,2,3,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Oui
129,178,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
130,179,Un homme,De 45 à 54 ans,Oui,Français,Non,5,4,3,2,2,2,2,2,2,4,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
131,180,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,3,4,3,5,2,4,2,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non
132,181,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
133,182,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,2,1,Oui,Non,Non,Non,Non,Non,Non,Non,Non
134,183,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,3,2,3,2,2,2,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
135,184,Un homme,De 45 à 54 ans,Non,Anglais,Oui,4,3,4,3,5,5,5,5,5,2,4,2,Non,Non,Oui,Non,Non,Non,Non,Non,Oui
