,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
1815,3206,Une femme,De 45 à 54 ans,Oui,Anglais,Non,4,4,4,4,4,4,4,4,5,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1816,3207,Un homme,De 25 à 34 ans,Oui,Espagnol,Oui,5,5,5,5,5,5,5,5,5,4,1,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1817,3209,Un homme,De 65 à 74 ans,Non,Arabe,Oui,4,4,4,4,2,2,2,3,5,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1818,3210,Une femme,De 25 à 34 ans,Non,Espagnol,Oui,3,3,3,3,5,5,4,4,2,5,3,1,Non,Je ne sais pas,Non,Non,Non,Non,Non,Non,Oui
1819,3211,Une femme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,5,4,5,4,5,2,3,3,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas
1820,3212,Une femme,De 25 à 34 ans,Non,Arabe,Oui,5,5,5,5,5,3,4,2,5,5,2,2,Non,Non,Non,Non,Oui,Non,Non,Non,Non
1821,3213,Une femme,De 25 à 34 ans,Oui,Anglais,Oui,4,4,4,4,4,4,4,4,5,2,1,2,Non,Non,Je ne sais pas,Oui,Oui,Non,Oui,Non,Non
1822,3214,Un homme,De 35 à 44 ans,Non,Français,Oui,5,5,5,5,2,2,2,3,5,5,4,2,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui
1823,3215,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,5,5,3,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
1824,3216,Une femme,De 18 à 24 ans,Oui,Français,Oui,5,4,5,3,4,4,4,3,4,4,3,2,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non
1825,3217,Un homme,De 18 à 24 ans,Non,Anglais,Non,4,3,4,4,4,4,4,4,2,4,4,2,Non,Je ne sais pas,Non,Non,Non,Non,Non,Non,Je ne sais pas
1826,3219,Une femme,De 18 à 24 ans,Non,kurde,Non,5,5,5,3,5,5,5,4,5,5,1,2,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non
1827,3220,Une femme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,3,5,4,5,5,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1828,3221,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,4,3,4,4,4,5,4,2,Non,Je ne sais pas,Oui,Non,Non,Non,Je ne sais pas,Non,Non
1829,3222,Une femme,De 25 à 34 ans,Non,Mandarin,Oui,5,5,5,5,5,4,5,4,1,3,4,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1830,3223,Une femme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,4,4,2,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
1831,3224,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,4,4,4,4,3,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1833,3226,Une femme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1834,3227,Un homme,De 18 à 24 ans,Non,Anglais,Non,1,1,1,1,5,5,5,5,2,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1835,3228,Une femme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,4,4,1,Non,Oui,Non,Non,Non,Non,Oui,Non,Non
1836,3229,Une femme,De 25 à 34 ans,Non,Anglais,Non,3,3,3,2,5,5,5,5,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1837,3230,Un homme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,5,3,3,2,2,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1838,3231,Un homme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,5,5,5,5,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1839,3232,Un homme,De 35 à 44 ans,Oui,Français,Oui,5,5,5,5,3,4,3,3,5,5,3,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1840,3233,Une femme,De 35 à 44 ans,Non,Français,Oui,5,5,5,5,2,2,2,3,5,2,5,3,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non
1841,3234,Un homme,De 35 à 44 ans,Non,Espagnol,Non,4,5,5,4,4,4,5,4,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1843,3237,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,5,5,5,5,4,4,2,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
1844,3238,Une femme,De 25 à 34 ans,Non,Roumain,Non,5,5,5,5,5,5,5,5,5,5,2,2,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui
1845,3239,Une femme,De 55 à 64 ans,Non,Français,Non,5,5,5,5,3,3,3,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1846,3240,Une femme,De 25 à 34 ans,Non,Créole,Oui,5,5,5,5,2,2,2,2,5,5,3,3,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1847,3241,Un homme,De 55 à 64 ans,Non,Arabe et français,Non,5,4,5,4,5,5,5,5,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1848,3243,Une femme,De 18 à 24 ans,Non,Mandarin,Oui,4,4,4,4,4,3,4,3,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1849,3244,Une femme,De 18 à 24 ans,Non,Français,Oui,5,5,5,5,4,3,3,3,4,5,4,1,Je ne sais pas,Oui,Oui,Non,Non,Non,Non,Non,Non
1850,3245,Un homme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,4,4,4,4,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1851,3246,Une femme,De 25 à 34 ans,Non,Espagnol,Oui,5,5,5,5,4,4,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1852,3247,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,3,3,3,5,1,1,3,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Oui
1853,3248,Un homme,De 18 à 24 ans,Non,Français,Oui,4,4,4,4,2,2,2,2,2,4,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1854,3249,Un homme,De 45 à 54 ans,Oui,Anglais,Non,5,5,5,5,5,5,5,5,1,2,4,2,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Oui
1855,3250,Un homme,De 55 à 64 ans,Non,Français,Oui,5,5,5,5,2,2,2,2,2,4,5,4,Non,Oui,Non,Non,Non,Non,Non,Non,Non
1856,3251,Une femme,De 25 à 34 ans,Non,Russe,Non,4,4,4,4,4,3,4,3,5,5,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1857,3252,Une femme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,5,4,4,4,4,3,5,5,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1858,3253,Une femme,De 25 à 34 ans,Non,Français,Non,4,4,5,4,4,3,4,3,5,2,1,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1859,3254,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,5,4,4,3,4,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1860,3255,Un homme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,3,2,4,2,4,4,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1861,3256,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,3,4,3,5,4,4,1,Oui,Non,Non,Non,Non,Oui,Non,Non,Non
1862,3257,Un homme,De 35 à 44 ans,Non,Chinois,Oui,4,3,4,3,4,3,4,3,5,4,2,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
1863,3258,Une femme,De 25 à 34 ans,Non,Arabe,Oui,5,5,5,5,4,4,4,4,5,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1864,3259,Une femme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,3,3,3,3,5,5,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1865,3260,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,2,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1866,3262,Une femme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,3,3,3,3,5,5,4,3,Oui,Non,Non,Non,Non,Je ne sais pas,Non,Non,Non
1867,3263,Une femme,De 35 à 44 ans,Non,Espagnol,Non,4,4,4,3,4,4,4,3,5,5,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1868,3268,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,4,4,3,4,3,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1869,3269,Une femme,De 35 à 44 ans,Non,Français,Non,2,2,2,2,2,2,2,2,5,5,5,4,Non,Non,Non,Je préfère ne pas répondre,Non,Non,Non,Non,Non
1870,3270,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,4,4,4,4,4,2,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1871,3271,Un homme,De 45 à 54 ans,Non,Français,Oui,4,4,4,4,3,3,3,2,4,4,4,3,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui
1872,3272,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,4,4,4,4,4,5,5,4,1,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui
1873,3273,Une femme,De 25 à 34 ans,Oui,Anglais,Oui,4,4,4,4,5,5,5,5,5,2,1,1,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non
1874,3274,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,4,4,4,4,4,4,5,1,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Oui
1875,3275,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,5,5,5,3,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1876,3276,Un homme,De 55 à 64 ans,Non,Roumain,Non,5,5,5,5,3,2,2,2,5,5,2,1,Je ne sais pas,Je ne sais pas,Non,Je ne sais pas,Non,Non,Non,Non,Oui
1877,3277,Un homme,De 25 à 34 ans,Non,Berbère,Non,5,5,5,5,5,5,5,5,5,5,1,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1878,3278,Une femme,De 35 à 44 ans,Non,Arabe,Non,3,2,4,3,4,5,4,4,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1879,3279,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,2,2,3,2,5,1,3,1,Non,Non,Non,Non,Oui,Non,Non,Non,Non
1880,3280,Une femme,De 18 à 24 ans,Non,Anglais,Non,5,5,5,5,5,5,5,5,5,4,4,2,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui
1881,3281,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,4,2,2,1,1,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1882,3282,Un homme,De 25 à 34 ans,Non,Albanais,Non,5,5,5,5,5,5,5,5,5,5,2,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1883,3283,Une femme,De 18 à 24 ans,Non,Arabe,Oui,5,4,5,4,5,4,5,4,4,1,1,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1884,3284,Une femme,De 18 à 24 ans,Non,Arabe,Oui,4,3,4,3,5,5,5,5,4,2,3,2,Non,Oui,Non,Non,Non,Non,Non,Non,Oui
1885,3286,Une femme,De 35 à 44 ans,Oui,Anglais,Je préfère ne pas répondre,3,3,3,2,5,5,5,5,5,4,5,1,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui
1886,3287,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,8,Non,Non,Non,Non,Non,Non,Non,Je ne sais pas,Non
1887,3301,Une femme,De 45 à 54 ans,Oui,Anglais,Non,5,4,4,3,5,5,5,5,5,5,4,2,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
1888,3302,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,4,5,5,5,4,2,4,3,1,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1889,3303,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,2,4,3,4,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1890,3304,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1891,3305,Un homme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,3,3,4,3,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1892,3306,Une femme,De 25 à 34 ans,Non,Je préfère ne pas répondre,Je préfère ne pas répondre,4,4,4,4,2,2,2,2,4,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1893,3307,Un homme,De 45 à 54 ans,Non,Serbe,Non,5,5,4,3,5,5,5,5,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1894,3308,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,3,3,5,5,5,4,5,8,Non,Non,Non,Non,Non,Non,Non,Non,Non
1895,3309,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1896,3311,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1897,3313,Un homme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1898,3314,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1899,3315,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1900,3316,Un homme,De 45 à 54 ans,Non,Français,Oui,5,5,5,5,4,5,5,5,5,4,4,1,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Oui
1901,3317,Un homme,De 45 à 54 ans,Non,Russe,Non,4,4,4,3,3,3,3,3,4,3,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1902,3319,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1903,3320,Une femme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,4,4,3,4,2,5,2,Non,Non,Non,Je ne sais pas,Non,Non,Non,Non,Je ne sais pas
1904,3322,Un homme,De 45 à 54 ans,Non,Arabe,Non,5,5,5,5,3,2,3,3,5,2,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1905,3323,Un homme,De 55 à 64 ans,Non,Albanais,Non,4,4,4,3,2,2,2,2,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1906,3324,Une femme,De 35 à 44 ans,Non,Perse,Non,5,5,5,5,5,4,5,4,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1907,3325,Un homme,De 45 à 54 ans,Oui,Anglais,Non,4,3,4,3,5,5,5,5,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1908,3326,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,3,4,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1909,3327,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,1,2,1,5,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1910,3328,Une femme,De 25 à 34 ans,Non,Espagnol,Oui,5,5,5,5,5,5,5,4,4,4,2,1,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
1911,3329,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1912,3331,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,4,2,4,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1913,3333,Un homme,De 25 à 34 ans,Non,Français,Oui,4,4,5,5,3,2,3,3,3,4,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1914,3336,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,3,4,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1915,3338,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,5,5,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1916,3339,Une femme,De 25 à 34 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,4,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1917,3340,Un homme,De 35 à 44 ans,Non,Roumain,Non,5,5,5,5,5,4,5,4,5,2,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1918,3341,Un homme,De 25 à 34 ans,Non,Arabe,Non,2,2,2,1,5,5,5,5,2,1,2,3,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui
1919,3344,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1920,3345,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,2,2,1,1,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1921,3346,Un homme,De 45 à 54 ans,Non,Français,Oui,5,5,5,5,3,4,4,4,5,5,4,2,Oui,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Non,Je préfère ne pas répondre
1922,3347,Un homme,De 45 à 54 ans,Oui,Français,Non,4,4,4,4,4,4,4,4,5,5,4,2,Non,Oui,Non,Non,Non,Non,Non,Non,Non
1923,3348,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,4,3,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1924,3349,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1925,3350,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1926,3351,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,3,4,4,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1927,3352,Une femme,De 35 à 44 ans,Oui,Français,Non,3,5,5,5,3,3,2,2,5,1,4,2,Je ne sais pas,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non
1928,3353,Une femme,De 35 à 44 ans,Oui,Français,Non,5,4,4,3,4,3,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1929,3354,Un homme,De 35 à 44 ans,Non,Français,Oui,5,5,5,4,3,3,3,3,5,5,4,3,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non
1930,3355,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,1,2,2,3,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1931,3356,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,4,5,4,4,5,4,3,Oui,Non,Non,Non,Non,Non,Non,Non,Non
1932,3358,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,2,4,1,Non,Non,Non,Non,Non,Non,Oui,Non,Non
1933,3359,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,3,3,3,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1934,3360,Un homme,De 18 à 24 ans,Oui,Cantonais,Oui,5,5,5,5,5,5,5,5,5,4,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1935,3362,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,2,2,3,1,Non,Non,Non,Oui,Non,Non,Oui,Non,Non
1936,3363,Un homme,De 55 à 64 ans,Non,Français,Oui,5,5,5,5,2,2,3,2,5,5,4,1,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1937,3364,Un homme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,5,4,4,4,4,5,5,3,2,Je ne sais pas,Oui,Oui,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Oui
1938,3367,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1939,3368,Une femme,De 18 à 24 ans,Non,Bengali,Oui,5,5,5,5,5,5,5,5,5,3,2,2,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas
1940,3369,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,5,5,5,4,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
1941,3370,Une femme,De 25 à 34 ans,Non,Mandarin,Oui,4,3,3,3,5,5,5,5,4,2,1,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
1942,3371,Un homme,De 65 à 74 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,5,4,4,3,Non,Non,Non,Non,Non,Non,Non,Oui,Non
1943,3373,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,3,5,4,5,5,4,2,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui
1944,3374,Une femme,De 55 à 64 ans,Non,Français,Non,5,5,5,5,3,2,3,2,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1945,3375,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,2,1,2,1,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1946,3376,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1947,3377,Un homme,De 45 à 54 ans,Non,Français,Oui,5,5,5,5,4,3,3,1,5,5,3,1,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui
1948,3378,Un homme,De 55 à 64 ans,Oui,Français,Non,4,4,4,3,3,2,3,2,5,4,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1949,3379,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,3,3,3,3,4,4,5,3,Non,Je ne sais pas,Non,Non,Non,Non,Non,Non,Non
1950,3380,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,4,3,4,3,4,2,2,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
1951,3381,Une femme,De 25 à 34 ans,Non,Français,Oui,5,5,5,5,5,5,5,5,5,2,1,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
1952,3382,Une femme,De 35 à 44 ans,Oui,Français,Non,3,3,3,3,3,3,2,2,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1953,3383,Un homme,De 25 à 34 ans,Non,Français,Non,4,4,5,4,3,3,3,3,4,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1954,3384,Un homme,De 65 à 74 ans,Non,Ukrainien,Non,4,3,3,3,4,4,4,4,5,4,2,2,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui
1955,3385,Un homme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,4,4,3,5,1,5,2,Je ne sais pas,Oui,Oui,Oui,Oui,Non,Non,Non,Oui
1957,3387,Un homme,De 18 à 24 ans,Oui,Français,Non,5,4,5,4,5,5,5,4,5,2,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1958,3400,Un homme,De 18 à 24 ans,Oui,Anglais,Non,4,3,5,4,2,3,3,3,5,4,4,3,Je ne sais pas,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Non
1959,3402,Un homme,De 18 à 24 ans,Non,Anglais,Oui,3,2,3,2,5,5,5,5,4,1,5,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas
1960,3404,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,3,5,4,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1962,3406,Un homme,De 35 à 44 ans,Non,Cantonais,Oui,5,5,5,5,5,5,5,5,5,4,2,1,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui
1963,3407,Une femme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,4,2,4,3,4,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
1964,3408,Une femme,De 18 à 24 ans,Non,Arabe,Non,5,5,5,5,3,3,3,3,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1965,3409,Un homme,De 35 à 44 ans,Non,Français,Non,5,5,5,5,3,3,3,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1966,3411,Une femme,De 18 à 24 ans,Non,Français,Non,5,5,5,5,4,3,3,3,4,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
1967,3413,Une femme,De 45 à 54 ans,Non,Créole,Oui,5,5,5,5,4,4,5,4,5,5,3,3,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
1968,3414,Un homme,De 55 à 64 ans,Non,Français,Oui,5,5,5,4,3,3,3,2,5,2,4,2,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui
1969,3415,Une femme,De 45 à 54 ans,Non,Anglais,Oui,3,3,3,2,5,5,5,5,3,4,4,2,Non,Je préfère ne pas répondre,Je préfère ne pas répondre,Non,Non,Non,Non,Oui,Oui
1970,3416,Un homme,De 35 à 44 ans,Non,Français,Oui,5,4,5,5,3,3,3,3,5,5,4,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui
1971,3417,Un homme,De 55 à 64 ans,Non,Anglais,Non,4,4,4,4,5,5,5,5,4,4,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1972,3418,Une femme,De 25 à 34 ans,Non,Français,Oui,5,4,5,5,2,1,2,3,4,4,2,2,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui
1973,3420,Une femme,De 25 à 34 ans,Non,Turque,Oui,3,3,3,3,5,5,5,5,5,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1974,3421,Une femme,De 35 à 44 ans,Non,Portugais,Non,4,4,4,3,3,3,3,3,5,5,2,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui
1975,3422,Un homme,De 65 à 74 ans,Non,Français,Non,5,5,5,5,4,4,4,4,5,5,4,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
1977,3425,Une femme,De 25 à 34 ans,Non,Anglais,Oui,5,5,5,5,5,5,5,5,5,4,3,1,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
