PÉRIODE DE RÉFÉRENCE,GÉO,DGUID,Langue maternelle,Statistiques,Réponses multiples,UNITÉ DE MESURE,IDENTIFICATEUR D'UNITÉ DE MESURE,FACTEUR SCALAIRE,IDENTIFICATEUR SCALAIRE,VECTEUR,COORDONNÉES,VALEUR,STATUS,SYMBOLE,TERMINÉ,DÉCIMALES
1961,Canada,2016A000011124,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943330,1.2.1.2,5123151,,,,0
1961,Canada,2016A000011124,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943332,1.2.2.2,28.1,,,,1
1961,Canada,2016A000011124,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943334,1.3.1.2,10660534,,,,0
1961,Canada,2016A000011124,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943336,1.3.2.2,58.5,,,,1
1961,Canada,2016A000011124,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943338,1.4.1.2,2454562,,,,0
1961,Canada,2016A000011124,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943340,1.4.2.2,13.5,,,,1
1961,Terre-Neuve-et-Labrador,2016A000210,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943350,2.1.1.2,457853,,,,0
1961,Terre-Neuve-et-Labrador,2016A000210,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943352,2.1.2.2,100,,,,1
1961,Terre-Neuve-et-Labrador,2016A000210,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943354,2.2.1.2,3150,,,,0
1961,Terre-Neuve-et-Labrador,2016A000210,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943356,2.2.2.2,0.7,,,,1
1961,Terre-Neuve-et-Labrador,2016A000210,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943358,2.3.1.2,451530,,,,0
1961,Terre-Neuve-et-Labrador,2016A000210,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943360,2.3.2.2,98.6,,,,1
1961,Terre-Neuve-et-Labrador,2016A000210,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943362,2.4.1.2,3173,,,,0
1961,Terre-Neuve-et-Labrador,2016A000210,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943364,2.4.2.2,0.7,,,,1
1961,Île-du-Prince-Édouard,2016A000211,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943374,3.1.1.2,104629,,,,0
1961,Île-du-Prince-Édouard,2016A000211,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943376,3.1.2.2,100,,,,1
1961,Île-du-Prince-Édouard,2016A000211,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943378,3.2.1.2,7958,,,,0
1961,Île-du-Prince-Édouard,2016A000211,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943380,3.2.2.2,7.6,,,,1
1961,Île-du-Prince-Édouard,2016A000211,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943382,3.3.1.2,95564,,,,0
1961,Île-du-Prince-Édouard,2016A000211,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943384,3.3.2.2,91.3,,,,1
1961,Île-du-Prince-Édouard,2016A000211,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943386,3.4.1.2,1107,,,,0
1961,Île-du-Prince-Édouard,2016A000211,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943388,3.4.2.2,1.1,,,,1
1961,Nouvelle-Écosse,2016A000212,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943398,4.1.1.2,737007,,,,0
1961,Nouvelle-Écosse,2016A000212,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943400,4.1.2.2,100,,,,1
1961,Nouvelle-Écosse,2016A000212,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943402,4.2.1.2,39568,,,,0
1961,Nouvelle-Écosse,2016A000212,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943404,4.2.2.2,5.4,,,,1
1961,Nouvelle-Écosse,2016A000212,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943406,4.3.1.2,680233,,,,0
1961,Nouvelle-Écosse,2016A000212,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943408,4.3.2.2,92.3,,,,1
1961,Nouvelle-Écosse,2016A000212,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943410,4.4.1.2,17206,,,,0
1961,Nouvelle-Écosse,2016A000212,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943412,4.4.2.2,2.3,,,,1
1961,Nouveau-Brunswick,2016A000213,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943422,5.1.1.2,597936,,,,0
1961,Nouveau-Brunswick,2016A000213,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943424,5.1.2.2,100,,,,1
1961,Nouveau-Brunswick,2016A000213,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943426,5.2.1.2,210530,,,,0
1961,Nouveau-Brunswick,2016A000213,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943428,5.2.2.2,35.2,,,,1
1961,Nouveau-Brunswick,2016A000213,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943430,5.3.1.2,378633,,,,0
1961,Nouveau-Brunswick,2016A000213,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943432,5.3.2.2,63.3,,,,1
1961,Nouveau-Brunswick,2016A000213,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943434,5.4.1.2,8773,,,,0
1961,Nouveau-Brunswick,2016A000213,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943436,5.4.2.2,1.5,,,,1
1961,Québec,2016A000224,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943446,6.1.1.2,5259211,,,,0
1961,Québec,2016A000224,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943448,6.1.2.2,100,,,,1
1961,Québec,2016A000224,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943450,6.2.1.2,4269689,,,,0
1961,Québec,2016A000224,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943452,6.2.2.2,81.2,,,,1
1961,Québec,2016A000224,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943454,6.3.1.2,697402,,,,0
1961,Québec,2016A000224,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943456,6.3.2.2,13.3,,,,1
1961,Québec,2016A000224,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943458,6.4.1.2,292120,,,,0
1961,Québec,2016A000224,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943460,6.4.2.2,5.6,,,,1
1961,Ontario,2016A000235,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943470,7.1.1.2,6236092,,,,0
1961,Ontario,2016A000235,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943472,7.1.2.2,100,,,,1
1961,Ontario,2016A000235,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943474,7.2.1.2,425302,,,,0
1961,Ontario,2016A000235,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943476,7.2.2.2,6.8,,,,1
1961,Ontario,2016A000235,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943478,7.3.1.2,4834623,,,,0
1961,Ontario,2016A000235,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943480,7.3.2.2,77.5,,,,1
1961,Ontario,2016A000235,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943482,7.4.1.2,976167,,,,0
1961,Ontario,2016A000235,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943484,7.4.2.2,15.7,,,,1
1961,Manitoba,2016A000246,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943494,8.1.1.2,921686,,,,0
1961,Manitoba,2016A000246,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943496,8.1.2.2,100,,,,1
1961,Manitoba,2016A000246,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943498,8.2.1.2,60899,,,,0
1961,Manitoba,2016A000246,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943500,8.2.2.2,6.6,,,,1
1961,Manitoba,2016A000246,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943502,8.3.1.2,584526,,,,0
1961,Manitoba,2016A000246,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943504,8.3.2.2,63.4,,,,1
1961,Manitoba,2016A000246,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943506,8.4.1.2,276260,,,,0
1961,Manitoba,2016A000246,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943508,8.4.2.2,30,,,,1
1961,Saskatchewan,2016A000247,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943518,9.1.1.2,925181,,,,0
1961,Saskatchewan,2016A000247,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943520,9.1.2.2,100,,,,1
1961,Saskatchewan,2016A000247,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943522,9.2.1.2,36163,,,,0
1961,Saskatchewan,2016A000247,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943524,9.2.2.2,3.9,,,,1
1961,Saskatchewan,2016A000247,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943526,9.3.1.2,638156,,,,0
1961,Saskatchewan,2016A000247,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943528,9.3.2.2,69,,,,1
1961,Saskatchewan,2016A000247,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943530,9.4.1.2,250862,,,,0
1961,Saskatchewan,2016A000247,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943532,9.4.2.2,27.1,,,,1
1961,Alberta,2016A000248,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943542,10.1.1.2,1331944,,,,0
