Geography,Year,Sex,Age,Prevalence Rate,Prevalent Cases,Population,Standard Error,Standard Score,Alberta Rate
AB,2004,MALE,45to49,5.9608,8122.646388,136268.0,0.06414,0.0,5.96079
AB,2004,MALE,50to54,6.1069,6686.0389011,109483.0,0.07237,0.0,6.10692
AB,2004,MALE,55to59,6.1965,5302.039564,85565.0,0.08242,0.0,6.19651
AB,2004,MALE,60to64,6.9216,4250.8441462,61414.0,0.10242,0.0,6.92162
AB,2004,MALE,65to69,8.2551,3904.7556528,47301.196178,0.12654,0.0,8.25509
AB,2004,MALE,70to74,9.4687,3868.7046404,40858.0,0.14485,0.0,9.46866
AB,2004,MALE,75to79,10.989,3319.6327287,30210.0,0.17994,0.0,10.98852
AB,2004,MALE,80to84,11.905,2257.1261694,18960.0,0.23519,0.0,11.90467
AB,2004,MALE,85+,11.132,1302.4446002,11700.0,0.29078,0.0,11.13201
AB,2004,MALE,ALL,10.634,174400.96263,1639968.2509,0.02407,0.0,10.63441
AB,2005,BOTH,00to39,12.959,244080.57706,1883425.0,0.02447,0.0,12.9594
AB,2005,BOTH,40to44,8.1367,22989.702384,282544.0,0.05143,0.0,8.13668
AB,2005,BOTH,45to49,8.0647,22126.817639,274367.0,0.05198,0.0,8.06468
AB,2005,BOTH,50to54,8.1648,18610.82216,227940.0,0.05735,0.0,8.16479
AB,2005,BOTH,55to59,8.3891,15172.99474,180866.0,0.06519,0.0,8.38908
AB,2005,BOTH,60to64,9.0485,11658.194203,128841.0,0.07992,0.0,9.04851
AB,2005,BOTH,65to69,9.7158,9650.6624695,99330.0,0.09397,0.0,9.71576
AB,2005,BOTH,70to74,10.525,9058.200358,86061.0,0.10461,0.0,10.52533
AB,2005,BOTH,75to79,11.313,7888.904696,69733.0,0.11995,0.0,11.31301
AB,2005,BOTH,80to84,11.776,5770.2200455,49001.0,0.14561,0.0,11.77572
AB,2005,BOTH,85+,11.04,4378.3290783,39660.084806,0.15736,0.0,11.03964
AB,2005,BOTH,ALL,11.18,371385.42483,3321768.0848,0.01729,0.0,11.18035
AB,2005,FEMALE,00to39,12.204,110975.78265,909317.0,0.03433,0.0,12.2043
AB,2005,FEMALE,40to44,9.8161,13643.636143,138992.0,0.07981,0.0,9.81613
AB,2005,FEMALE,45to49,9.9842,13410.821724,134321.0,0.0818,0.0,9.98416
AB,2005,FEMALE,50to54,10.142,11335.285265,111770.0,0.0903,0.0,10.14162
AB,2005,FEMALE,55to59,10.425,9339.5692943,89590.0,0.10209,0.0,10.42479
AB,2005,FEMALE,60to64,11.042,7103.5298284,64330.0,0.12357,0.0,11.04233
AB,2005,FEMALE,65to69,11.024,5608.7377513,50877.0,0.13885,0.0,11.02411
AB,2005,FEMALE,70to74,11.378,5106.4857381,44880.0,0.14989,0.0,11.37809
AB,2005,FEMALE,75to79,11.649,4437.8919278,38098.0,0.16436,0.0,11.64862
AB,2005,FEMALE,80to84,11.704,3448.5694541,29465.0,0.18728,0.0,11.70395
AB,2005,FEMALE,85+,10.827,2932.8802701,27088.084806,0.18879,0.0,10.8272
AB,2005,FEMALE,ALL,11.432,187343.19004,1638728.0848,0.02486,0.0,11.43223
AB,2005,MALE,00to39,13.664,133104.79441,974108.0,0.0348,0.0,13.66427
AB,2005,MALE,40to44,6.5106,9346.0662407,143552.0,0.06512,0.0,6.51058
AB,2005,MALE,45to49,6.2237,8715.9959145,140046.0,0.06456,0.0,6.22367
AB,2005,MALE,50to54,6.2628,7275.5368943,116170.0,0.07109,0.0,6.26284
AB,2005,MALE,55to59,6.391,5833.4254459,91276.0,0.08096,0.0,6.39097
AB,2005,MALE,60to64,7.0603,4554.664375,64511.0,0.10085,0.0,7.06029
AB,2005,MALE,65to69,8.3419,4041.9247181,48453.0,0.12562,0.0,8.34195
AB,2005,MALE,70to74,9.596,3951.7146199,41181.0,0.14514,0.0,9.59597
AB,2005,MALE,75to79,10.909,3451.0127683,31635.0,0.17528,0.0,10.90884
AB,2005,MALE,80to84,11.884,2321.6505914,19536.0,0.23152,0.0,11.88396
AB,2005,MALE,85+,11.497,1445.4488081,12572.0,0.2845,0.0,11.49737
AB,2005,MALE,ALL,10.935,184042.23479,1683040.0,0.02406,0.0,10.93511
AB,2006,BOTH,00to39,13.183,255203.93712,1935916.0428,0.02431,0.0,13.18259
AB,2006,BOTH,40to44,8.3428,23355.340414,279946.0,0.05226,0.0,8.3428
AB,2006,BOTH,45to49,8.2967,23345.174104,281379.0,0.052,0.0,8.2967
AB,2006,BOTH,50to54,8.3604,20240.156618,242096.0,0.05625,0.0,8.36038
AB,2006,BOTH,55to59,8.612,16479.271944,191353.0,0.06413,0.0,8.61197
AB,2006,BOTH,60to64,9.3255,12681.671905,135989.0,0.07885,0.0,9.32551
