"REF_DATE","GEO","DGUID","Knowledge of official languages","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951","British Columbia","2016A000259","Neither English nor French","Number","Number","223","units","0","v1043024608","11.5.1","12113","","","","0"
"1951","British Columbia","2016A000259","Neither English nor French","Percentage","Percentage","242","units","0","v1043024609","11.5.2","1.0","","","","1"
"1951","Yukon","2016A000260","Total, knowledge of official languages","Number","Number","223","units","0","v1043024610","12.1.1","9096","","","","0"
"1951","Yukon","2016A000260","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024611","12.1.2","100.0","","","","1"
"1951","Yukon","2016A000260","French only","Number","Number","223","units","0","v1043024612","12.2.1","10","","","","0"
"1951","Yukon","2016A000260","French only","Percentage","Percentage","242","units","0","v1043024613","12.2.2","0.1","","","","1"
"1951","Yukon","2016A000260","English only","Number","Number","223","units","0","v1043024614","12.3.1","8337","","","","0"
"1951","Yukon","2016A000260","English only","Percentage","Percentage","242","units","0","v1043024615","12.3.2","91.7","","","","1"
"1951","Yukon","2016A000260","English and French","Number","Number","223","units","0","v1043024616","12.4.1","519","","","","0"
"1951","Yukon","2016A000260","English and French","Percentage","Percentage","242","units","0","v1043024617","12.4.2","5.7","","","","1"
"1951","Yukon","2016A000260","Neither English nor French","Number","Number","223","units","0","v1043024618","12.5.1","230","","","","0"
"1951","Yukon","2016A000260","Neither English nor French","Percentage","Percentage","242","units","0","v1043024619","12.5.2","2.5","","","","1"
"1951","Northwest Territories including Nunavut","2016A000261","Total, knowledge of official languages","Number","Number","223","units","0","v1043024620","13.1.1","16004","","","t","0"
"1951","Northwest Territories including Nunavut","2016A000261","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024621","13.1.2","100.0","","","t","1"
"1951","Northwest Territories including Nunavut","2016A000261","French only","Number","Number","223","units","0","v1043024622","13.2.1","171","","","t","0"
"1951","Northwest Territories including Nunavut","2016A000261","French only","Percentage","Percentage","242","units","0","v1043024623","13.2.2","1.1","","","t","1"
"1951","Northwest Territories including Nunavut","2016A000261","English only","Number","Number","223","units","0","v1043024624","13.3.1","6929","","","t","0"
"1951","Northwest Territories including Nunavut","2016A000261","English only","Percentage","Percentage","242","units","0","v1043024625","13.3.2","43.3","","","t","1"
"1951","Northwest Territories including Nunavut","2016A000261","English and French","Number","Number","223","units","0","v1043024626","13.4.1","1031","","","t","0"
"1951","Northwest Territories including Nunavut","2016A000261","English and French","Percentage","Percentage","242","units","0","v1043024627","13.4.2","6.4","","","t","1"
"1951","Northwest Territories including Nunavut","2016A000261","Neither English nor French","Number","Number","223","units","0","v1043024628","13.5.1","7873","","","t","0"
"1951","Northwest Territories including Nunavut","2016A000261","Neither English nor French","Percentage","Percentage","242","units","0","v1043024629","13.5.2","49.2","","","t","1"
"1951","Canada outside Quebec","","Total, knowledge of official languages","Number","Number","223","units","0","v1043024650","16.1.1","9953748","","","","0"
"1951","Canada outside Quebec","","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024651","16.1.2","100.0","","","","1"
"1951","Canada outside Quebec","","French only","Number","Number","223","units","0","v1043024652","16.2.1","207570","","","","0"
"1951","Canada outside Quebec","","French only","Percentage","Percentage","242","units","0","v1043024653","16.2.2","2.1","","","","1"
"1951","Canada outside Quebec","","English only","Number","Number","223","units","0","v1043024654","16.3.1","8924582","","","","0"
"1951","Canada outside Quebec","","English only","Percentage","Percentage","242","units","0","v1043024655","16.3.2","89.7","","","","1"
