Date,Open,High,Low,Close,Adj Close,Volume,Gain
5/2/2014,61.299999,61.889999,60.18,60.459999,60.459999,54189000,-0.84
5/5/2014,59.669998,61.349998,59.18,61.220001,61.220001,46057000,1.550003
5/6/2014,60.98,61.150002,58.490002,58.529999,58.529999,55901000,-2.450001
5/7/2014,58.77,59.299999,56.259998,57.389999,57.389999,78587000,-1.380001
5/8/2014,57.23,58.82,56.5,56.759998,56.759998,61251000,-0.470002
5/9/2014,56.849998,57.650002,56.380001,57.240002,57.240002,52584000,0.390004
5/12/2014,57.98,59.900002,57.98,59.830002,59.830002,48575000,1.850002
5/13/2014,59.66,60.889999,59.509998,59.830002,59.830002,48525000,0.170002
5/14/2014,59.529999,60.450001,58.950001,59.23,59.23,47429000,-0.299999
5/15/2014,59.259998,59.380001,57.52,57.919998,57.919998,56814000,-1.34
5/16/2014,58.310001,58.450001,57.310001,58.02,58.02,47933000,-0.290001
5/19/2014,57.889999,59.560001,57.57,59.209999,59.209999,43034000,1.32
5/20/2014,59.5,60.189999,58.18,58.560001,58.560001,53931000,-0.939999
5/21/2014,58.560001,60.5,58.25,60.490002,60.490002,58992000,1.930001
5/22/2014,60.939999,61.48,60.400002,60.52,60.52,54200000,-0.419999
5/23/2014,60.41,61.450001,60.150002,61.349998,61.349998,38294000,0.939998
5/27/2014,61.619999,63.509998,61.57,63.48,63.48,55682000,1.860001
5/28/2014,63.389999,64.139999,62.619999,63.509998,63.509998,47795000,0.119999
5/29/2014,63.84,64.300003,63.509998,63.830002,63.830002,42700000,-0.009998
5/30/2014,63.950001,64.169998,62.560001,63.299999,63.299999,45253500,-0.650002
6/2/2014,63.23,63.59,62.049999,63.080002,63.080002,35996000,-0.149998
6/3/2014,62.619999,63.419998,62.32,62.869999,62.869999,32217000,0.25
6/4/2014,62.450001,63.59,62.07,63.34,63.34,36514000,0.889999
6/5/2014,63.66,64.360001,62.82,63.189999,63.189999,47352000,-0.470001
6/6/2014,63.369999,63.48,62.150002,62.5,62.5,42442000,-0.869999
6/9/2014,62.400002,63.34,61.790001,62.880001,62.880001,37617000,0.479999
6/10/2014,63.529999,65.82,63.5,65.769997,65.769997,69338000,2.239998
6/11/2014,65.32,65.800003,64.900002,65.779999,65.779999,44242000,0.459999
6/12/2014,65.849998,66.470001,64.059998,64.290001,64.290001,55730000,-1.559997
6/13/2014,64.699997,64.970001,63.830002,64.5,64.5,29419000,-0.199997
6/16/2014,64.160004,64.879997,63.75,64.190002,64.190002,31046000,0.029998
6/17/2014,64.099998,64.879997,63.93,64.400002,64.400002,27715000,0.300004
6/18/2014,64.489998,65.75,64.050003,65.599998,65.599998,35570000,1.11
6/19/2014,65.459999,65.580002,64.209999,64.339996,64.339996,34245000,-1.120003
6/20/2014,64.459999,64.809998,63.349998,64.5,64.5,46466000,0.040001
6/23/2014,64.32,65.660004,64.220001,65.370003,65.370003,34560000,1.050003
6/24/2014,65.360001,67.169998,65.269997,65.720001,65.720001,57335000,0.36
6/25/2014,65.580002,67.480003,65.57,67.440002,67.440002,44308000,1.86
6/26/2014,68,68,66.900002,67.129997,67.129997,47714000,-0.870003
6/27/2014,67.309998,67.699997,66.839996,67.599998,67.599998,46461000,0.29
6/30/2014,67.459999,67.919998,67.129997,67.290001,67.290001,27102800,-0.169998
7/1/2014,67.580002,68.440002,67.389999,68.059998,68.059998,33243000,0.479996
7/2/2014,68.040001,68.300003,65.790001,66.449997,66.449997,41895000,-1.590004
7/3/2014,66.860001,67,65.760002,66.290001,66.290001,25203200,-0.57
7/7/2014,66.300003,66.57,65.120003,65.290001,65.290001,28745000,-1.010002
7/8/2014,65.059998,65.559998,62.209999,62.759998,62.759998,68926000,-2.3
7/9/2014,63.41,65.120003,63.150002,64.970001,64.970001,51432000,1.560001
7/10/2014,63.310001,65.339996,63.049999,64.870003,64.870003,44422000,1.560002
7/11/2014,65.279999,66.589996,64.790001,66.339996,66.339996,39212000,1.059997
7/14/2014,67.129997,68.169998,66.900002,67.900002,67.900002,38537000,0.770005
7/15/2014,67.959999,68.089996,66.260002,67.169998,67.169998,44213200,-0.790001
7/16/2014,67.540001,67.940002,67.07,67.660004,67.660004,29541600,0.120003
7/17/2014,67.029999,67.849998,66.040001,66.410004,66.410004,38188000,-0.619995
7/18/2014,66.800003,68.459999,66.160004,68.419998,68.419998,42456000,1.619995
7/21/2014,68.809998,69.959999,68.5,69.400002,69.400002,49539000,0.590004
7/22/2014,69.760002,69.769997,68.610001,69.269997,69.269997,40398000,-0.490005
7/23/2014,69.739998,71.330002,69.610001,71.290001,71.290001,78435000,1.550003
7/24/2014,75.959999,76.739998,74.510002,74.980003,74.980003,124168000,-0.979996
7/25/2014,74.989998,75.669998,74.660004,75.190002,75.190002,45917000,0.200004
7/28/2014,75.169998,75.5,73.849998,74.919998,74.919998,41725000,-0.25
7/29/2014,74.720001,74.919998,73.419998,73.709999,73.709999,41324000,-1.010002
7/30/2014,74.209999,75.190002,74.129997,74.68,74.68,36853000,0.470001
7/31/2014,74,74.169998,72.440002,72.650002,72.650002,43992000,-1.349998
8/1/2014,72.220001,73.220001,71.550003,72.360001,72.360001,43535000,0.14
8/4/2014,72.360001,73.879997,72.360001,73.510002,73.510002,30777000,1.150001
8/5/2014,73.199997,73.589996,72.18,72.690002,72.690002,34986000,-0.509995
8/6/2014,72.019997,73.720001,71.790001,72.470001,72.470001,30986000,0.450004
8/7/2014,73,74,72.699997,73.169998,73.169998,38141000,0.169998
8/8/2014,73.400002,73.43,72.559998,73.059998,73.059998,27202000,-0.340004
8/11/2014,73.459999,73.910004,73.059998,73.440002,73.440002,24591000,-0.019997
8/12/2014,73.089996,73.330002,72.220001,72.830002,72.830002,27419000,-0.259994
8/13/2014,73.120003,74.25,73.050003,73.769997,73.769997,29266000,0.649994
8/14/2014,73.970001,74.379997,73.690002,74.300003,74.300003,22207000,0.330002
8/15/2014,74.32,74.650002,73,73.629997,73.629997,38846600,-0.690003
8/18/2014,74,74.720001,73.959999,74.589996,74.589996,23974000,0.589996
8/19/2014,74.809998,75.580002,74.510002,75.290001,75.290001,26679000,0.480003
8/20/2014,74.970001,75.18,74.620003,74.809998,74.809998,22917000,-0.160003
8/21/2014,74.919998,75.190002,74.410004,74.57,74.57,20102000,-0.349998
8/22/2014,74.339996,74.730003,73.57,74.57,74.57,20897000,0.230004
8/25/2014,74.940002,75.279999,74.790001,75.019997,75.019997,19734000,0.079995
8/26/2014,75,75.989998,74.730003,75.959999,75.959999,23993000,0.959999
8/27/2014,75.269997,75.489998,74.459999,74.629997,74.629997,36323000,-0.64
8/28/2014,74,74.43,73.730003,73.860001,73.860001,21947000,-0.139999
8/29/2014,74.300003,74.82,74.010002,74.82,74.82,26241000,0.519997
9/2/2014,75.010002,76.699997,74.82,76.68,76.68,34979000,1.669998
9/3/2014,77.139999,77.480003,75.599998,75.830002,75.830002,32389000,-1.309997
9/4/2014,75.889999,76.93,75.529999,75.949997,75.949997,26676000,0.059998
9/5/2014,76.099998,77.379997,75.599998,77.260002,77.260002,29476000,1.160004
9/8/2014,77.260002,78.169998,77.010002,77.889999,77.889999,28183000,0.629997
9/9/2014,77.589996,78.169998,76.199997,76.669998,76.669998,28882000,-0.919998
9/10/2014,76.519997,77.949997,76.510002,77.43,77.43,29909000,0.910003
9/11/2014,77.129997,78.360001,77.050003,77.919998,77.919998,32219000,0.790001
9/12/2014,78.019997,78.300003,77.099998,77.480003,77.480003,26676800,-0.539994
9/15/2014,77.150002,77.25,73.43,74.580002,74.580002,49679000,-2.57
9/16/2014,73.519997,76.230003,73.07,76.080002,76.080002,37742000,2.560005
9/17/2014,75.959999,77.25,75.57,76.43,76.43,28693000,0.470001
9/18/2014,76.769997,77.330002,76.519997,77,77,23031000,0.230003
9/19/2014,77.400002,78.300003,76.440002,77.910004,77.910004,76671000,0.510002
9/22/2014,77,77.529999,75.949997,76.800003,76.800003,31961000,-0.199997
9/23/2014,76.330002,78.629997,76.040001,78.290001,78.290001,36814000,1.959999
9/24/2014,78.099998,78.620003,77.510002,78.540001,78.540001,30680000,0.440003
9/25/2014,78.599998,78.940002,77.129997,77.220001,77.220001,37533000,-1.379997
9/26/2014,77.589996,78.839996,77.330002,78.790001,78.790001,28872000,1.200005
9/29/2014,78.120003,79.199997,77.910004,79,79,34031000,0.879997
9/30/2014,79.349998,79.709999,78.599998,79.040001,79.040001,35899000,-0.309997
